utm_x,utm_y
332256.211256816,4128605.37621282
332254.372660413,4128606.12341185
332252.490627113,4128606.91588055
332250.633412687,4128607.61905337
332248.703722843,4128608.24597785
332246.784231044,4128608.93929827
332244.794484924,4128609.66732533
332242.919097208,4128610.34866385
332241.018002894,4128611.07491717
332239.053964592,4128611.75803126
332237.11674406,4128612.45170889
332235.26795286,4128613.13251675
332233.340708672,4128613.88149527
332231.464878454,4128614.54064544
332229.589937042,4128615.24417801
332227.651829459,4128615.89347592
332225.784865193,4128616.5524499
332223.839670177,4128617.29069014
332221.911317133,4128617.9841939
332220.018646976,4128618.68808364
332218.099381786,4128619.39250629
332216.205823629,4128620.05201495
332214.312487898,4128620.72261954
332212.454168574,4128621.37032358
332210.578785777,4128622.05166953
332208.64179184,4128622.75644941
332206.721639768,4128623.41649277
332204.871964488,4128624.05292554
332202.944058706,4128624.76862476
332200.997312173,4128625.42920199
332199.689720245,4128625.67738353
332197.853755077,4128625.66974676
332196.758459426,4128625.44748021
332195.596220064,4128624.98235557
332194.338886306,4128624.19723697
332193.200775809,4128623.16553243
332192.471793081,4128622.19223509
332191.426288031,4128620.47047999
332190.493140623,4128618.60217581
332189.586588166,4128616.73333916
332188.804146948,4128614.86201728
332188.20676194,4128612.93148999
332187.943162985,4128611.28287717
332187.92452163,4128610.794853
332188.091091992,4128608.92672715
332188.521172126,4128606.93122519
332189.120378735,4128605.40963404
332189.645820661,4128604.63321618
332190.107229372,4128604.20217881
332190.474898847,4128603.96171757
332192.199999491,4128602.86157881
332193.997132508,4128601.81549775
332195.81643974,4128600.99097191
332197.698247578,4128600.18739487
332198.396371181,4128600.06241643
332199.10602599,4128600.07040644
332199.676060413,4128600.19219162
332200.79308852,4128600.6138225
332201.511185673,4128601.04344143
332202.06240047,4128601.55410153
332202.681891778,4128602.3741929
332203.337087166,4128603.64866698
332204.225907425,4128605.51786003
332205.131568903,4128607.3423162
332205.967419861,4128609.22366995
332206.810336924,4128610.57208512
332207.379503196,4128611.09348603
332207.954202107,4128611.44827709
332208.758505395,4128611.75407115
332209.604912627,4128611.94802287
332210.296613978,4128611.9452733
332211.578057256,4128611.71981699
332212.855279662,4128611.28354651
332214.707825362,4128610.34735984
332216.526466025,4128609.48955202
332218.424893133,4128608.63014718
332220.14579603,4128607.76319708
332221.942042538,4128606.67274011
332222.874394437,4128605.84377804
332223.583563423,4128604.94158478
332224.094589859,4128603.88795938
332224.393297661,4128602.86078464
332224.464622154,4128601.9935614
332224.436451401,4128601.47242825
332224.278837525,4128600.68748807
332223.813367175,4128599.58681314
332223.041130424,4128597.78188378
332222.267560522,4128595.91038153
332221.476482169,4128594.05032982
332220.168962866,4128591.20162327
332219.235819268,4128589.33331608
332218.398858986,4128587.39648364
332217.670501552,4128585.56847629
332216.877866327,4128583.63075653
332216.140420992,4128581.7918313
332215.364848971,4128579.8204702
332214.618760021,4128577.99281808
332213.800194476,4128576.08891754
332212.992048802,4128574.26250802
332212.137799789,4128572.34822212
332211.378644472,4128570.75393058
332210.571608603,4128568.98299873
332209.752819237,4128567.06800306
332209.024014136,4128565.21780541
332208.223398756,4128563.32464585
332207.370924964,4128561.49912432
332206.438886423,4128559.68629589
332205.554304848,4128558.47191409
332204.750641676,4128557.75540948
332203.843262203,4128557.17418089
332202.68987929,4128556.7088775
332201.64821033,4128556.50773598
332200.601675132,4128556.50649094
332199.099038432,4128556.75857737
332197.875443513,4128557.21597556
332196.97343893,4128557.78903388
332196.259380523,4128558.44712847
332195.620020568,4128559.29242637
332195.253259377,4128560.02126646
332194.955664038,4128561.1039197
332194.844459553,4128562.19394064
332194.93737619,4128563.29097423
332195.243723385,4128564.41703395
332196.1050648,4128566.24237682
332196.957985047,4128568.09008827
332197.484671296,4128570.03313168
332197.597539613,4128571.24076519
332197.492978461,4128572.21965367
332197.20424855,4128573.30212935
332196.36303422,4128575.13936388
332195.760024976,4128576.02833375
332195.065031683,4128576.75264643
332194.121369817,4128577.45973865
332192.865205931,4128578.06208916
332191.789211595,4128578.36113368
332189.903377783,4128578.52099579
332187.81517853,4128578.31861258
332185.785702417,4128577.94855483
332183.794130812,4128577.69983786
332182.820519098,4128577.79703435
332181.603126924,4128578.12111163
332180.373559399,4128578.72293146
332178.818226059,4128579.88627233
332177.575173247,4128581.14325925
332177.067683262,4128581.93041825
332176.561327235,4128583.21705199
332176.174018603,4128585.13399843
332176.154134972,4128586.35539031
332176.365411727,4128587.60545274
332176.864150432,4128589.03845744
332177.590271877,4128590.31150938
332178.215520781,4128590.9760846
332179.062175904,4128591.62512606
332180.057094112,4128592.14909914
332180.949162979,4128592.40873334
332182.113829166,4128592.55190929
332183.620236288,4128592.48844294
332185.625068504,4128592.07089761
332187.582020219,4128591.4767125
332189.466495777,4128590.80627958
332191.368035354,4128590.10220558
332193.234781197,4128589.43212857
332195.20768686,4128588.74882631
332197.028774516,4128588.01306479
332198.92920443,4128587.25351509
332200.883047711,4128586.50399627
332202.772391475,4128585.63367005
332204.663735084,4128584.86320371
332207.481476316,4128583.85219016
332209.300788743,4128583.02766745
332211.17195948,4128582.13550721
332212.991494759,4128581.32208082
332214.890816738,4128580.50705738
332216.754900606,4128579.70383986
332218.634715818,4128578.80040835
332220.444943046,4128577.96497014
332222.869733675,4128576.81753003
332223.943043136,4128575.94134649
332224.288763893,4128575.49042745
332225.092766682,4128574.00913908
332225.367546084,4128573.11564281
332225.458156419,4128572.32573311
332225.42754229,4128571.68254956
332225.251309294,4128570.85358238
332224.627779226,4128568.94577624
332223.811436639,4128567.15282971
332222.98400719,4128565.24910583
332222.386627503,4128563.3185764
332221.878343561,4128561.40846313
332221.324844996,4128559.45485535
332220.562136246,4128557.68303517
332220.014898038,4128556.92809552
332219.490943623,4128556.45018822
332218.687503676,4128555.7447778
332218.31934588,4128555.0750524
332218.245092312,4128554.91003995
332219.577818252,4128556.35964941
332221.04418778,4128557.83988323
332221.836762909,4128558.44561193
332222.465322046,4128558.83262561
332223.277606257,4128559.09386176
332224.060184998,4128559.20029355
332224.928305562,4128559.1496137
332226.870202645,4128558.68893901
332227.091609853,4128558.6734065
332225.408155763,4128559.63950423
332224.605443706,4128560.29937116
332224.112346364,4128560.91973975
332223.607738574,4128561.8511371
332223.441986272,4128562.43165235
332223.400790638,4128563.0318738
332223.474862502,4128564.07378509
332223.794291547,4128565.41048258
332224.603546198,4128567.29237052
332225.376895593,4128569.15277748
332226.211856527,4128570.98975115
332226.910043334,4128572.19676662
332227.660734386,4128572.92543364
332228.442665453,4128573.44257646
332229.068113367,4128573.67425372
332229.717713295,4128573.78334818
332230.37373495,4128573.7702148
332231.115742651,4128573.62216081
332232.940390409,4128573.06393519
332234.849469653,4128572.29312091
332236.682963438,4128571.29072153
332237.573438394,4128570.58469908
332238.258015734,4128569.7828991
332238.634977931,4128569.12045647
332238.886273094,4128568.38282999
332239.131329568,4128566.89053264
332239.210371796,4128565.07966049
332238.986685147,4128563.65224642
332238.303100706,4128561.84554107
332237.557015559,4128560.01788707
332236.783223999,4128558.13528809
332235.983058713,4128556.26431708
332235.183559455,4128554.42663261
332234.392258694,4128552.55548426
332233.610711275,4128550.72854048
332232.703718228,4128548.83750845
332231.779660803,4128546.98011793
332230.81194343,4128545.15690136
332230.212847074,4128544.46959888
332229.346684308,4128543.7321433
332228.368605848,4128543.1634274
332227.153832669,4128542.73264945
332225.632776057,4128542.50780237
332224.365498047,4128542.55537331
332222.529091006,4128542.96953666
332220.617784477,4128543.62939861
332218.761002211,4128544.35476902
332216.788972801,4128545.08244723
332214.979404996,4128545.95117244
332213.20729764,4128546.91904749
332211.463119145,4128547.95296339
332209.753068886,4128548.91959672
332209.13452636,4128549.47587823
332208.711684417,4128550.06154127
332208.371072892,4128550.76765724
332208.164105626,4128551.50439719
332208.037612571,4128552.71682328
332208.135414926,4128554.05795777
332208.572780946,4128555.96949031
332209.327515861,4128557.78586895
332210.127020648,4128559.62355115
332210.970628816,4128561.44925043
332211.806482231,4128563.33060475
332212.605763876,4128565.15719167
332213.450481774,4128567.03836864
332214.285223412,4128568.86424572
332215.129718465,4128570.73432736
332215.982856182,4128572.59313608
332216.623007626,4128574.44510921
332216.905442555,4128576.14884516
332216.90952399,4128578.12455268
332216.506474942,4128580.14171132
332215.950920632,4128581.62912628
332215.083975607,4128583.06727611
332213.844250427,4128584.49068987
332212.665672122,4128585.42448221
332211.551350615,4128586.02398998
332209.766610621,4128586.80342025
332207.865957594,4128587.55187196
332205.929844316,4128588.30103413
332204.020104628,4128589.03856876
332202.190373699,4128589.78560175
332200.30834091,4128590.57808218
332198.425864115,4128591.34837206
332196.555363229,4128592.27382175
332194.690617401,4128593.04375747
332192.754950796,4128593.81511376
332190.873586261,4128594.64088286
332189.007952689,4128595.36643791
332187.132121164,4128596.02559795
332185.257845242,4128596.76242688
332183.260568716,4128597.5572191
332181.38629344,4128598.29404891
332179.499820379,4128598.8646243
332177.670070682,4128599.16766555
332176.188260332,4128599.13074097
332174.940920063,4128598.84492229
332173.786652065,4128598.33524101
332172.762694457,4128597.68975088
332171.670236721,4128596.72373436
332170.622303401,4128595.32392849
332169.595854324,4128593.66839378
332168.665365924,4128591.93323775
332167.696305616,4128590.0434551
332166.826094772,4128588.2182925
332166.079106763,4128586.34626237
332165.341650247,4128584.50734123
332164.568955047,4128582.68022583
332163.750822689,4128580.79852077
332162.96815061,4128578.91610559
332162.443503788,4128577.96091802
332161.661720069,4128576.12288493
332160.939992167,4128574.1837496
332160.547187491,4128572.72642415
332160.36625772,4128571.2204555
332160.383519936,4128570.75391215
332160.527759661,4128569.98512722
332160.862810864,4128569.0016218
332161.518762292,4128567.65649127
332162.691314545,4128565.9791161
332163.369909115,4128565.32172873
332164.89244921,4128564.29224113
332166.677412719,4128563.52389684
332168.611084568,4128562.65267529
332170.511518178,4128561.89311929
332172.278974519,4128561.13622681
332174.168988186,4128560.29918075
332175.987858614,4128559.45245992
332177.913778092,4128558.63689557
332179.795149847,4128557.81112385
332181.641950016,4128557.03044465
332183.534853915,4128556.33764217
332185.460774766,4128555.52207962
332187.35079089,4128554.68503662
332189.232608738,4128553.88145807
332191.061458024,4128553.09004056
332192.943276551,4128552.28646286
332194.771682154,4128551.4728552
332196.678986058,4128550.61326837
332198.534210074,4128549.8102245
332200.479197109,4128549.06088344
332202.405787611,4128548.27861138
332204.243060107,4128547.46482834
332206.088531653,4128546.61758174
332207.978551653,4128545.78054355
332209.746014445,4128545.02365922
332211.627169946,4128544.18679938
332213.517190996,4128543.34976248
332215.398569363,4128542.523999
332217.306543656,4128541.69770349
332219.180612522,4128540.94978682
332221.010133598,4128540.19166252
332222.919219602,4128539.42084578
332224.733010125,4128538.76293671
332226.769763581,4128538.16716397
332227.886111802,4128538.11151507
332228.535936599,4128538.23170502
332229.598447131,4128538.58783185
332230.980346497,4128539.39266229
332232.12621723,4128540.36871713
332233.163503876,4128541.679944
332233.955896706,4128543.16257258
332234.727246718,4128544.92312093
332235.553786623,4128546.78246393
332236.300317414,4128548.63230875
332237.135943956,4128550.50256992
332237.925689436,4128552.29605007
332238.744251294,4128554.19995279
332239.509177527,4128556.0827294
332240.388462245,4128557.91881705
332241.295230574,4128559.79875435
332242.147696944,4128561.62427908
332243.044044585,4128563.42672557
332243.862160138,4128565.30843777
332244.502527857,4128567.1715083
332245.110099972,4128569.16843461
332245.319811844,4128570.34082998
332245.271970656,4128571.05218365
332245.100905687,4128571.81040375
332244.778022517,4128572.51616326
332244.381108612,4128573.06800562
332243.963354901,4128573.46486604
332243.036530694,4128574.12721569
332241.762854979,4128574.74100916
332239.834268523,4128575.42341287
332237.912992685,4128576.02797112
332236.018756808,4128576.6541884
332234.089726948,4128577.31440248
332232.124792508,4128577.95313593
332230.249398385,4128578.63447705
332228.383536094,4128579.34892759
332226.384272781,4128580.48784695
332224.709688479,4128581.45376752
332224.117965165,4128582.02061105
332223.521597406,4128582.79844644
332222.906409182,4128583.96515655
332222.659336614,4128584.91359794
332222.57561309,4128586.04746795
332222.690032712,4128587.33277014
332223.133149401,4128589.08878899
332223.974752944,4128590.81463003
332224.115949139,4128591.22250096
332224.732127179,4128592.32015868
332225.185158089,4128592.79948612
332225.788229873,4128593.24250988
332226.387969564,4128593.51910131
332226.958670331,4128593.67417482
332227.562388149,4128593.70648803
332228.403021192,4128593.6119589
332230.337155815,4128593.20693966
332232.294554108,4128592.63495607
332234.177255423,4128591.87576938
332236.141076044,4128591.18155883
332238.061459747,4128590.53261806
332239.954581959,4128589.85092368
332241.873189308,4128589.11321988
332243.845432047,4128588.39664272
332245.730134228,4128587.73731812
332247.668249649,4128587.08802469
332249.578215188,4128586.36159565
332251.507021837,4128585.69028961
332253.417876386,4128585.00824343
